"water_year","WB_annual_total_aet","WB_ave_aet","RS_annual_total_aet","RS_ave_monthly_aet","RS_annual_total_precip","RS_ave_monthly_precip","RS_annual_total_pet","RS_ave_monthly_pet","RS_annual_total_soil_moisture","RS_ave_monthly_soil_moisture","RS_ave_monthly_tmax"
1990,470.532218331343,1.28912936529135,6751.5342244,562.627852033333,1058.9282104,88.2440175333333,7747.2158208,645.6013184,10186.5225756,848.8768813,143.368626216667
1991,719.131928916596,1.97022446278519,7010.3114503,584.192620858333,1212.3102763,101.025856358333,8905.2079646,742.100663716667,10154.331407,846.194283916667,160.1072482
1992,454.620747958745,1.24213319114411,6391.3331227,532.611093558333,962.9391366,80.24492805,7568.0670942,630.67225785,8967.7187106,747.30989255,141.856713933333
1993,360.517736359579,1.00787043489115,4899.9557521,408.329646008333,991.3518149,82.6126512416667,7865.8486545,655.487387875,8119.6061949,676.633849575,142.166328041667
1994,618.538093316563,1.69462491319606,6686.1628139,557.180234491667,1144.7591658,95.39659715,8040.7849017,670.065408475,9663.5111072,805.292592266667,140.011724166667
1995,451.841373732952,1.2379215718711,5817.244898,484.770408166667,824.1265127,68.6772093916667,8572.1675095,714.347292458333,8294.8420626,691.23683855,152.248457358333
1996,449.050342270534,1.24473461678432,6155.298718,512.941559833333,1279.8112697,106.650939141667,7314.3994944,609.5332912,10543.7282826,878.64402355,137.7267398
1997,404.228901979565,1.14410225488273,5348.6135092,445.717792433333,1111.4773344,92.6231112,7877.1425861,656.428548841667,9134.0235689,761.168630741667,142.73732015
1998,461.685698587411,1.29997903229276,6680.5278129,556.710651075,1202.7914936,100.232624466667,7914.170399,659.514199916667,9514.600235,792.883352916667,152.337329183333
1999,628.859191865913,1.73048205508951,6178.1032147,514.841934558333,1040.6654324,86.7221193666667,8825.8273432,735.485611933333,9956.3072965,829.692274708333,155.638086208333
2000,513.563754580058,1.51058224869395,7148.0207693,595.668397441667,1038.6338271,86.552818925,7858.1923425,654.849361875,10437.1992056,869.766600466667,147.912399925
2001,245.247351530191,0.732686807845273,6222.4990969,518.541591408333,928.3103666,77.3591972166667,7911.3668954,659.280574616667,8650.2999822,720.85833185,144.127227441667
2002,584.070328647679,1.67819337974024,6852.0919271,571.007660591667,893.1336465,74.427803875,8653.8272529,721.152271075,7590.4802241,632.540018675,161.331376808333
2003,634.860191233588,1.79053541918463,6310.7608812,525.8967401,1139.423063,94.9519219166667,7010.3315875,584.194298958333,10335.6014992,861.300124933333,134.11408855
2004,722.406868395036,2.34318651411319,7199.9513274,599.99594395,1161.8473903,96.8206158583333,7800.5933719,650.049447658333,10804.3699658,900.364163816667,141.832136841667
2005,474.585331691018,1.4062216002711,6426.7265666,535.560547216667,1083.6221779,90.3018481583333,7788.0914756,649.007622966667,9967.6858408,830.640486733333,145.943283058333
2006,392.071355277361,1.45826287636152,7155.5651978,596.297099816667,1416.8649991,118.072083258333,7768.3687015,647.364058458333,11345.526549,945.46054575,150.249984958333
2007,373.161715090773,1.18083478091361,6299.3085607,524.942380058333,1146.418819,95.5349015833333,8597.2104027,716.434200225,9067.8402566,755.653354716667,151.984069283333
2008,826.88657147881,2.31077603836707,7459.1405094,621.59504245,1447.4426585,120.620221541667,8098.66164,674.88847,9935.8692434,827.989103616667,149.182311416667
2009,439.117812089408,1.25271242277159,7114.9651437,592.913761975,1261.3575943,105.113132858333,7570.5669135,630.880576125,12005.6452954,1000.47044128333,141.724715541667
2010,-289.558830135059,0.557223501447139,6242.2688278,520.189068983333,1102.3205705,91.8600475416667,9253.2158208,771.1013184,8201.79339,683.4827825,160.018775208333
2011,533.694311270516,1.64639696159085,7165.75149,597.1459575,1358.0964421,113.174703508333,7977.8732165,664.822768041667,11401.2028176,950.1002348,146.278979308333
2012,514.100176438828,1.64431612859576,8253.199657,687.766638083333,1153.373036,96.1144196666667,9062.1523389,755.179361575,10125.7923968,843.816033066667,166.354351016667
2013,550.625432240711,1.65507440103737,7503.3538919,625.279490991667,1177.6542351,98.137852925,8136.5097526,678.042479383333,10892.6697672,907.7224806,150.497900491667
2014,454.460788557587,1.27407691472917,6365.324544,530.443712,1030.4548491,85.871237425,8120.7171753,676.726431275,8548.2331589,712.352763241667,141.685095725
2015,549.520343636445,1.52048820514004,6798.2644934,566.522041116667,1190.6452051,99.2204337583333,8438.6172114,703.21810095,9212.7519417,767.729328475,145.881900558333
2016,452.716336263144,1.26189138761026,6693.0220337,557.751836141667,899.4988261,74.9582355083333,9248.3377278,770.69481065,8032.0427126,669.336892716667,161.338172008333
2017,527.574232947663,1.51321899514459,6608.2679248,550.688993733333,1127.9138523,93.992821025,7716.391638,643.0326365,10044.3534407,837.029453391667,152.633668966667
2018,573.17171340625,1.60396302917813,6961.2042624,580.1003552,1202.2287341,100.185727841667,8281.4067185,690.117226541667,9319.1184759,776.593206325,155.787136525
2019,535.92502011883,1.46828772635296,6949.8152429,579.151270241667,1394.0335921,116.169466008333,7581.4541268,631.7878439,11178.596081,931.549673416667,146.116338575
2020,345.590951881965,0.957979842108292,5678.746162,473.228846833333,1083.3989526,90.28324605,8839.0492143,736.587434525,8760.5870509,730.048920908333,157.91588405
